Feature Games Played Year -1,Feature Passes Attempted Year -1,Feature Passes Completed Year -1,Feature Completion Percentage Year -1,Feature Pass Attempts Per Game Year -1,Feature Passing Yards Year -1,Feature Passing Yards Per Attempt Year -1,Feature Passing Yards Per Game Year -1,Feature TD Passes Year -1,Feature Percentage of TDs per Attempts Year -1,Feature Ints Year -1,Feature Int Rate Year -1,Feature Longest Pass Year -1,Feature Passes Longer than 20 Yards Year -1,Feature Passes Longer than 40 Yards Year -1,Feature Sacks Year -1,Feature Sacked Yards Lost Year -1,Feature Passer Rating Year -1,Feature Rushing Attempts Year -1,Feature Rushing Attempts Per Game Year -1,Feature Rushing Yards Year -1,Feature Yards Per Carry Year -1,Feature Rushing Yards Per Game Year -1,Feature Rushing TDs Year -1,Feature Longest Rushing Run Year -1,Feature Rushing First Downs Year -1,Feature Percentage of Rushing First Downs Year -1,Feature Rushing More Than 20 Yards Year -1,Feature Rushing More Than 40 Yards Year -1,Feature Receptions Year -1,Feature Receiving Yards Year -1,Feature Yards Per Reception Year -1,Feature Yards Per Game Year -1,Feature Longest Reception Year -1,Feature Receiving TDs Year -1,Feature Receptions Longer than 20 Yards Year -1,Feature Receptions Longer than 40 Yards Year -1,Feature First Down Receptions Year -1,Feature Fumbles Year -1,Target Passing Yards,Target TD Passes,Target Ints,Target Rushing Yards,Target Rushing TDs,Target Receiving Yards,Target Receiving TDs,Target Fumbles
12.0,129.0,45.0,34.9,10.8,862.0,6.7,71.8,9.0,7.0,12.0,9.3,0.0,0.0,0.0,0.0,120.0,43.5,22.0,1.8,98.0,4.5,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.0,7.0,13.0,36.0,0.0,0.0,0.0,0.0
4.0,60.0,30.0,50.0,15.0,329.0,5.5,82.2,1.0,1.7,2.0,3.3,39.0,4.0,0.0,6.0,37.0,58.3,9.0,2.2,15.0,1.7,3.8,0.0,10.0,2.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,406.0,2.0,4.0,26.0,0.0,0.0,0.0,1.0
16.0,519.0,298.0,57.4,32.4,3414.0,6.6,213.4,18.0,3.5,17.0,3.3,53.0,44.0,4.0,41.0,242.0,75.3,13.0,0.8,12.0,0.9,0.8,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,329.0,1.0,2.0,15.0,0.0,0.0,0.0,1.0
15.0,377.0,234.0,62.1,25.1,2836.0,7.5,189.1,20.0,5.3,16.0,4.2,72.0,40.0,6.0,26.0,148.0,85.2,19.0,1.3,43.0,2.3,2.9,0.0,21.0,4.0,21.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3414.0,18.0,17.0,12.0,0.0,0.0,0.0,1.0
3.0,9.0,7.0,77.8,3.0,154.0,17.1,51.3,1.0,11.1,1.0,11.1,57.0,4.0,2.0,1.0,4.0,116.2,6.0,2.0,9.0,1.5,3.0,1.0,8.0,1.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2836.0,20.0,16.0,43.0,0.0,0.0,0.0,3.0
16.0,23.0,6.0,26.1,1.4,49.0,2.1,3.1,0.0,0.0,3.0,13.0,13.0,0.0,0.0,2.0,7.0,0.0,1.0,0.1,4.0,4.0,0.2,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,1.0,1.0,9.0,1.0,0.0,0.0,1.0
5.0,19.0,10.0,52.6,3.8,141.0,7.4,28.2,0.0,0.0,2.0,10.5,39.0,2.0,0.0,0.0,0.0,37.3,1.0,0.2,1.0,1.0,0.2,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0
16.0,1.0,1.0,100.0,0.1,1.0,1.0,0.1,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,118.8,2.0,0.1,-2.0,-1.0,-0.1,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
13.0,121.0,66.0,54.5,9.3,757.0,6.3,58.2,5.0,4.1,9.0,7.4,38.0,12.0,0.0,10.0,60.0,56.4,9.0,0.7,20.0,2.2,1.5,0.0,11.0,1.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-2.0,0.0,0.0,0.0,0.0
10.0,93.0,35.0,37.6,9.3,391.0,4.2,39.1,1.0,1.1,12.0,12.9,0.0,0.0,0.0,0.0,0.0,15.0,141.0,14.1,483.0,3.4,48.3,3.0,0.0,0.0,0.0,0.0,0.0,4.0,55.0,13.8,5.5,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,7.0,166.0,0.0,12.0,0.0,0.0
14.0,136.0,53.0,39.0,9.7,973.0,7.2,69.5,11.0,8.1,17.0,12.5,0.0,0.0,0.0,0.0,0.0,51.7,130.0,9.3,437.0,3.4,31.2,3.0,0.0,0.0,0.0,0.0,0.0,4.0,136.0,34.0,9.7,0.0,1.0,0.0,0.0,0.0,0.0,391.0,1.0,12.0,483.0,3.0,55.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,320.0,20.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,0.0,66.0,0.0,0.0
14.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,6.0,0.4,15.0,2.5,1.1,0.0,15.0,0.0,0.0,0.0,0.0,15.0,217.0,14.5,15.5,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,65.0,21.7,5.9,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,217.0,1.0,0.0
14.0,1.0,1.0,100.0,0.1,19.0,19.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,6.0,6.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,21.0,21.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
